X,Y,OBJECTID,ASSETID,SearchDescription,Type,SerialNo,ExpectedCommissioning,AssetStage,MaintenanceResp,SigActivity,DrawingRef,SpatialAccuracy,MeterComponent,PropertyUse,NumDials,AccountNo,MeterSize,loaddate,InstallDate,FunctionService
1701724.728,5681314.9153,1599,40195945,BB-HELICOPT1WM,Manifold Meter,09M269009,,In Service,Water,Water Supply,W-QDC1006-01,DIGITISE,REG,Water Billing Account,38,30285,15,2024/03/22 22:03:57+00,2013/01/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1694772.5427,5676506.315,1600,40187451,NP-MANGO0072WM/2,Manifold Meter,10W702034,,In Service,Water,Water Supply,METER BK P1939,DIGITISE,REG,Water Billing Account,24,251,50,2024/03/22 22:03:57+00,2010/07/27 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Merrilands Water Supply Zone
1694802.6921,5676437.5421,1601,40195965,NP-MANGO0054WM,Manifold Meter,88539543,,In Service,Water,Water Supply,,DIGITISE,REG,EDUCTAION,24,30328,40,2024/03/22 22:03:57+00,1980/01/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Merrilands Water Supply Zone
1699513.7396,5678526.1639,1602,40181068,BB-CONNE0031WM,Manifold Meter,NM514,,In Service,Water,Water Supply,BK55/7790,DIGITISE,REG,Commercial/Industrial,34,2137,30,2024/03/22 22:03:57+00,2004/11/23 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1703024.5946,5680048.012,1603,40111401,BB-DEVON1245WM,Unknown,NM778,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,39,1459,0,2024/03/22 22:03:57+00,2003/05/15 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1703245.3474,5680101.9334,1604,40110190,BB-MOUNT0010WM,Unknown,NM817790,,In Service,Unknown,Water Supply,,DIGITISE,REG,Small Holdings,39,32929,0,2024/03/22 22:03:57+00,1998/04/17 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1696771.5735,5671014.8282,1605,40196011,RU-HYDRO0011WM/1,Manifold Meter,11M585038,,In Service,Water,Water Supply,,DIGITISE,REG,Water Billing Account,35,30273,20,2024/03/22 22:03:57+00,2012/10/08 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Rural Water Supply Zone
1694109.7165,5675453.8276,1606,40187268,NP-CORON0141WM,Manifold Meter,07H701486,,In Service,Water,Water Supply,WAC09/00141,DIGITISE,REG,Water Billing Account,24,30276,50,2024/03/22 22:03:57+00,2010/02/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1694109.3621,5675453.6584,1607,40196015,NP-CORON0141WM/1,Manifold Meter,07M305190,,In Service,Water,Water Supply,WAC09/00141,DIGITISE,REG,Commercial/Industrial,24,30176,20,2024/03/22 22:03:57+00,2010/01/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1694963.2787,5673967.0595,1608,40196018,NP-JUNC10035WM,Manifold Meter,12A035528,,In Service,Water,Water Supply,,DIGITISE,REG,Commercial/Industrial,24,32864,0,2024/03/22 22:03:57+00,2012/10/27 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1692330.1913,5676253.3612,1609,40191270,NP-DAWSO0016WM,Manifold Meter,08M145050,,In Service,Water,Water Supply,WAC10/00082,DIGITISE,REG,Commercial/Industrial,22,30203,50,2024/03/22 22:03:57+00,2010/11/19 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1692330.6158,5676253.4453,1610,40196022,NP-DAWSO0016WM/1,Manifold Meter,08H700991,,In Service,Water,Water Supply,WAC10/00083,DIGITISE,REG,Water Billing Account,22,30275,20,2024/03/22 22:03:57+00,2010/11/19 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\CBD Water Supply Zone
1702804.0827,5679995.1619,1611,40110140,BB-OLD D0007WM,Unknown,NM789,,In Service,Unknown,Water Supply,,DIGITISE,REG,Residential,39,1458,0,2024/03/22 22:03:57+00,1998/04/17 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1702804.5209,5680013.724,1612,40111574,BB-DEVON0900WM,PSM,422349,,In Service,Unknown,Water Supply,,DIGITISE,REG,FARM,39,30334,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1695557.8544,5672334.581,1613,40111157,NP-JUNCT0264WM,Unknown,NO027,,In Service,Unknown,Water Supply,,DIGITISE,REG,Small Holdings,24,30200,0,2024/03/22 22:03:57+00,1994/03/21 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Highlands Park Water Supply Zone
1702631.7624,5676029.3236,1614,40196052,BB-CORBE0404WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,WAC13/00008,DIGITISE,REG,RESTRICTED,30,0,4,2024/03/22 22:03:57+00,2013/03/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Rural Water Supply Zone
1704056.6441,5674975.257,1615,40111015,RU-MOUNT0171WM,Restricted Flow Meter,RFLEPPER,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,1678,29,2024/03/22 22:03:57+00,2001/05/08 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Waitara Water Supply Zone
1692101.6036,5673596.0892,1616,40186396,NP-BROIS0085WM/1,Manifold Meter,09A069804,,In Service,Water,Water Supply,,DIGITISE,REG,EDUCATION,22,156,20,2024/03/22 22:03:57+00,2010/01/07 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1691971.9216,5675310.0236,1617,40110789,NP-CUTFI0101WM/2,Unknown,WO23144,,In Service,Unknown,Water Supply,,DIGITISE,REG,Water Billing Account,22,1550,0,2024/03/22 22:03:57+00,1999/01/15 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1703490.385,5664143.844,1618,40110351,IN-WINDS0027WM,Unknown,104848,,In Service,Unknown,Water Supply,,LOCATED,REG,Residential,86,33200,0,2024/03/22 22:03:57+00,1993/05/24 00:00:00+00,Water\Inglewood System\Inglewood Reticulation\Inglewood Upper Supply Zone
